City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Ponta Do Sol,PT,32.6667,-17.1,67.71,81,47,6.44,scattered clouds
79,Ushuaia,AR,-54.8,-68.3,51.46,66,40,8.05,scattered clouds
80,Ribeira Grande,PT,38.5167,-28.7,66.6,82,75,32.99,light rain
81,Karratha,AU,-20.7377,116.8463,78.42,71,14,16.22,light rain
82,Biak,ID,-0.9131,122.8766,75.96,85,100,6.38,moderate rain
83,Vardo,NO,70.3705,31.1107,12.18,85,20,29.93,few clouds
84,Albany,US,42.6001,-73.9662,38.43,74,49,10.18,scattered clouds
85,Hirara,JP,24.8,125.2833,61.03,66,100,37.49,light rain
86,Lagoa,PT,39.05,-27.9833,62.55,80,19,36.33,light rain
87,Nelson Bay,AU,-32.7167,152.15,63.1,81,86,1.01,overcast clouds
88,Lincoln,US,40.8,-96.667,27.18,61,0,17.27,clear sky
89,Ruteng,ID,-8.6136,120.4721,60.51,89,100,0.51,overcast clouds
90,Kokopo,PG,-4.352,152.2633,76.42,84,95,2.89,overcast clouds
91,Huarmey,PE,-10.0681,-78.1522,74.75,73,57,12.12,broken clouds
92,Hasaki,JP,35.7333,140.8333,42.22,83,100,11.41,overcast clouds
93,Port Macquarie,AU,-31.4333,152.9167,55.89,69,88,11.65,overcast clouds
94,Tasiilaq,GL,65.6145,-37.6368,15.96,56,0,7.31,clear sky
95,Luderitz,NA,-26.6481,15.1594,69.58,81,11,20.92,few clouds
96,Isangel,VU,-19.55,169.2667,64.51,82,20,0.0,few clouds
97,Cape Town,ZA,-33.9258,18.4232,70.21,77,0,17.27,clear sky
98,Obrenovac,RS,44.6549,20.2002,41.27,88,100,1.99,overcast clouds
99,Abu Samrah,SY,35.3029,37.1841,56.84,65,49,6.4,scattered clouds
100,Seoul,KR,37.5683,126.9778,13.44,57,0,6.91,clear sky
101,Arman,RU,59.7,150.1667,5.81,81,100,17.4,overcast clouds
102,Madrid,ES,40.4165,-3.7026,52.75,80,75,3.44,broken clouds
103,Bethel,US,41.3712,-73.414,44.46,61,0,17.27,clear sky
104,Komsomolskiy,UZ,40.4272,71.7189,30.92,86,39,4.61,mist
105,Qaanaaq,GL,77.484,-69.3632,-0.76,68,75,11.07,broken clouds
106,Kikwit,CD,-5.041,18.8162,74.03,82,100,0.96,overcast clouds
107,Kununurra,AU,-15.7667,128.7333,75.18,94,40,5.75,scattered clouds
