hotel_id,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
359,Bara,NG,78.1,overcast clouds,10.3744,10.7288,No hotel found
374,Kavaratti,IN,81.1,scattered clouds,10.5669,72.642,No hotel found
378,Cabo Rojo,PR,84.88,few clouds,18.0866,-67.1457,No hotel found
387,Cayenne,GF,73.44,light rain,4.9333,-52.3333,Central Hôtel
389,Benguela,AO,75.7,overcast clouds,-12.5763,13.4055,Hotel Moibela
390,Pietersburg,ZA,70.65,moderate rain,-23.9045,29.4688,Miami Lodges
393,Port Augusta,AU,73.99,overcast clouds,-32.5,137.7667,Hotel Commonwealth
395,Manuk Mangkaw,PH,81.64,overcast clouds,4.8,119.85,No hotel found
396,Sao Jose Da Coroa Grande,BR,81.64,broken clouds,-8.8978,-35.1478,Hotel do Sol
400,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,No hotel found
401,Tautira,PF,78.64,light rain,-17.7333,-149.15,No hotel found
403,Boende,CD,73.99,overcast clouds,-0.2167,20.8667,No hotel found
407,Pignon,HT,85.66,clear sky,19.3333,-72.1167,Hôtel Montana
408,Luba,GQ,82.29,broken clouds,3.4568,8.5547,Hotel Jones
410,Quebrada Larga,HN,83.12,overcast clouds,14.1,-86.3667,No hotel found
411,Waingapu,ID,77.41,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
415,Upata,VE,85.19,overcast clouds,8.0086,-62.3989,Hotel Garibardi
416,Pointe-Noire,CG,78.62,overcast clouds,-4.7761,11.8635,HÔTEL F.A.R.E
417,Weston,US,79.0,overcast clouds,26.1004,-80.3998,TownePlace Suites by Marriott Fort Lauderdale Weston
418,Gogrial,SS,80.55,clear sky,8.5332,28.1004,No hotel found
419,Negombo,LK,77.05,clear sky,7.2083,79.8358,Choys Waterfront Residence
421,Tariba,VE,77.56,overcast clouds,7.8188,-72.2243,Hotel Guasimos Suites
424,San Rafael,AR,87.64,few clouds,-34.6177,-68.3301,Hotel Regional
427,Ahuimanu,US,76.78,few clouds,21.4447,-157.8378,No hotel found
428,Sinnamary,GF,78.53,overcast clouds,5.3833,-52.95,Hôtel du fleuve
430,Chalatenango,SV,86.58,clear sky,14.0333,-88.9333,"Hotel y Restaurante ""Los Amigos"""
435,Padang,ID,77.05,moderate rain,-0.9492,100.3543,losmen Surya
439,Praia,CV,77.54,few clouds,14.9215,-23.5087,Casa Sodadi
441,Mar Del Plata,AR,72.82,light rain,-38.0023,-57.5575,Nuevo Ostende
442,Padre Bernardo,BR,71.28,overcast clouds,-15.35,-48.5,No hotel found
453,Gwadar,PK,73.27,clear sky,25.1216,62.3254,Sadaf Resorts
455,Jizan,SA,79.74,clear sky,17.3333,42.6667,No hotel found
457,Buritis,BR,70.05,overcast clouds,-15.6178,-46.4233,No hotel found
458,Singkang,MY,73.47,overcast clouds,2.1006,102.7994,No hotel found
467,Dania Beach,US,78.03,overcast clouds,26.0523,-80.1439,Wyndham Garden Ft Lauderdale Airport & Cruise Port
468,Srandakan,ID,76.6,few clouds,-7.9386,110.2506,No hotel found
470,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Prainha
473,Yaan,NG,80.51,overcast clouds,7.3833,8.5667,No hotel found
474,Aiquile,BO,72.36,overcast clouds,-18.2041,-65.1807,Quinta del Sur
475,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
477,Kupang,ID,76.86,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
480,Kaduqli,SD,77.97,scattered clouds,11.0167,29.7167,South Kordofan Hotel
485,Holly Hill,US,71.11,broken clouds,29.2436,-81.0376,La Bella Oceanfront Inn
487,Pasni,PK,72.5,clear sky,25.2631,63.471,No hotel found
491,Mocuba,MZ,80.29,overcast clouds,-16.8392,36.9856,No hotel found
492,Gamba,GA,78.24,overcast clouds,-2.65,10.0,No hotel found
493,Kawalu,ID,72.57,scattered clouds,-7.3817,108.2082,Hotel Surya
502,Carupano,VE,81.79,overcast clouds,10.6678,-63.2585,Hotel El Yunque
512,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Marry's Motel
522,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
523,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,No hotel found
524,Sao Gabriel Da Cachoeira,BR,89.4,scattered clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
526,Kapoeta,SS,81.3,broken clouds,4.7717,33.5903,Kuleu
527,Pedernales,DO,83.88,clear sky,18.0384,-71.744,Hostal Doña Chava
530,Tayoltita,MX,74.5,broken clouds,24.0833,-105.9333,No hotel found
531,Nioro,GM,84.11,clear sky,13.35,-15.75,No hotel found
532,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,No hotel found
533,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
535,Maun,BW,78.76,light rain,-19.9833,23.4167,Center Lodge Conference Center
540,Cairns,AU,77.07,scattered clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
542,Agutaya,PH,80.74,broken clouds,11.148,120.9417,No hotel found
545,Sambava,MG,75.88,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
546,Honiara,SB,75.85,scattered clouds,-9.4333,159.95,King Solomon Hotel
548,Iguape,BR,76.37,broken clouds,-24.7081,-47.5553,Pousada dos Lampiões
551,Umuarama,BR,85.62,scattered clouds,-23.7664,-53.325,Ibis Styles
552,West Bay,KY,84.99,few clouds,19.3667,-81.4167,Bonnie's Arch
553,Pajapan,MX,79.43,light rain,18.25,-94.7,No hotel found
556,Poya,NC,76.64,clear sky,-21.35,165.15,No hotel found
557,San Luis,AR,82.38,few clouds,-33.295,-66.3356,Hotel Dos Venados
564,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,The Adventures Inn
571,Jacareacanga,BR,85.42,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
572,Liwale,TZ,74.35,overcast clouds,-9.7667,37.9333,No hotel found
575,Cochabamba,BO,83.95,scattered clouds,-17.3895,-66.1568,Hotel Monserrat
580,Maturin,VE,87.8,overcast clouds,9.75,-63.1767,Hotel Royal
583,Chaiya,TH,77.49,light rain,9.3862,99.1986,Udomlarp Hotel
584,Beloha,MG,72.77,broken clouds,-25.1667,45.05,No hotel found
585,Bang Saphan,TH,76.6,broken clouds,11.2126,99.5117,Hotel
591,Kisanga,TZ,79.93,overcast clouds,-7.4362,37.7034,No hotel found
594,Ikom,NG,77.99,overcast clouds,5.9667,8.7063,Gold Palm Hotels
595,Lorengau,PG,79.41,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
597,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Hotel California
598,Sabang,ID,81.0,overcast clouds,5.8933,95.3214,Sabang Hill
600,Chicama,PE,72.14,overcast clouds,-7.8447,-79.1469,No hotel found
604,Kidal,ML,76.37,clear sky,18.4411,1.4078,No hotel found
606,Pucallpa,PE,82.44,broken clouds,-8.3791,-74.5539,Hospedaje Cristofer
608,Buenos Aires,AR,77.99,clear sky,-34.6132,-58.3772,Hotel Dazzler Tower
609,Tual,ID,83.43,overcast clouds,-5.6667,132.75,Suita
617,Ambon,ID,77.14,moderate rain,-3.6954,128.1814,Hotel Hero
619,Sekondi,GH,79.79,clear sky,4.937,-1.7128,Majestic Hotel
620,Takoradi,GH,79.99,clear sky,4.8845,-1.7554,Hillcrest
621,Tocopilla,CL,70.34,clear sky,-22.092,-70.1979,hotel Isidora
622,Carutapera,BR,85.19,broken clouds,-1.195,-46.02,No hotel found
623,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
626,Mathathane,BW,76.8,overcast clouds,-22.2687,28.7495,No hotel found
627,Celestun,MX,82.24,clear sky,20.8667,-90.4,Hotel Flamingo Playa
628,Comapa,GT,81.32,clear sky,14.1167,-89.9167,No hotel found
631,Vilhena,BR,73.62,broken clouds,-12.7406,-60.1458,No hotel found
636,Gorom-Gorom,BF,80.8,clear sky,14.4439,-0.2361,No hotel found
638,Bulungu,CD,71.47,overcast clouds,-4.55,18.6,No hotel found
639,Matara,LK,73.98,overcast clouds,5.9485,80.5353,Villa Palm Breeze
646,Banda Aceh,ID,77.2,overcast clouds,5.5577,95.3222,Hotel 61
648,Jhabua,IN,71.38,clear sky,22.7667,74.6,No hotel found
652,Gamboma,CG,75.09,light rain,-1.8764,15.8644,No hotel found
660,Linhares,BR,73.72,light rain,-19.3911,-40.0722,Days Inn Linhares
